Id,Name,Popularity,Followers,Generes
7GacyaFUp0qkEJglERX9N7,Alfa,62,384882,"italian pop,pop virale italiano"
70KwF5p6fS97rw3rQxPht5,Amir Issaa,27,2558,
0QJ3p787u7KD0ZhD5vzrCA,Anastasio,46,112528,italian hip hop
14G3ckv9rHxD2lOfB7p8oc,Artisti per l'Italia Band,20,207,canti alpini
2jksqQXw2tEkijQj4SUfP0,Asher Kuno,11,901,
7fE7lNK6tsXhCOfYfxQ3wT,Axos,52,106904,"italian hip hop,italian indie pop"
3iYwsCmyIpFw5GLKwL6V77,Babaman,48,155330,"italian hip hop,italian reggae"
725KKhVCSCQbYkZBptBTfg,Baby K,60,1129025,"italian adult pop,italian pop"
4sQiXz6GYok2zyqMSHG0MX,Bassi Maestro,52,191582,"italian hip hop,italian underground hip hop"
7vlwS8BMw7yyothJwoY74p,Biondo,48,260972,italian pop
26PZBCQnswFp61ccTrVJOa,Gianni Bismark,56,104492,"emo rap italiano,italian hip hop,italian indie pop"
5OHbkBRl9kGeloz8JjAwDP,Blind,54,38342,
1hHYi4Vy83BGo6TqKd98hu,Boro Boro,60,241591,"italian hip hop,italian pop"
0sFpREh3MXhfRxOFZVStVG,Caneda,47,31378,italian hip hop
4l0PmbNvFq3m5JaUuAPbcB,Caparezza,62,680310,"italian adult pop,italian indie pop,italian reggae"
5SulO4l40qDuV9zUGLZx7n,Capo Plaza,77,2794388,"italian hip hop,trap italiana"
29nrwultxQ8jENVmXoyMqK,Carl Brave,68,586292,"italian adult pop,italian indie pop,italian pop,rap napoletano,rome indie"
5ZPb4m701cVcj87M0qbqtL,Joe Cassano,28,18397,
4sMU7qrone9NBsVshHixpk,Chef Ragoo,10,414,italian underground hip hop
65U1A6j2pIHfZXLoitJFXz,Claver Gold,54,77809,"italian hip hop,italian indie pop,italian underground hip hop"
0ba6wsfB7G2rhdHMebCdO3,Clementino,60,555319,"italian hip hop,rap napoletano"
5FEh6KHK99CyLXp3qFvZFM,CoCo,57,103883,"italian hip hop,r&b italiano,rap napoletano"
5dXlc7MnpaTeUIsHLVe3n4,Coez,69,1676148,"italian indie pop,italian pop,rap napoletano,rome indie"
67ZKaYOA7fXtnWve33FcSX,Livio Cori,45,19788,"italian pop,rap napoletano"
1Xn1GTJkWC9sRBzk9A8Jms,Cranio Randagio,47,84701,"italian hip hop,italian indie pop"
1s40cKdN5mIRJXJ0DPorl8,C.U.B.A. Cabbal,10,835,
0ffKEtMDnROKWyJtXUnLbJ,Dani Faiv,63,303472,italian hip hop
6KlsX5XebNQOfcSSQ45lqN,Danno,36,3478,
7muPB2GhV0sEg2K1Fgj0Xm,Dargen D'Amico,50,68104,"italian hip hop,italian indie pop,milan indie,r&b italiano"
